match,week,team,opponent,Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
NASH @ INDY,Week 1,NASH,INDY,2024-04-08 11:51:39,2,0,1,1,1,1,16,0,0,0,0,0,08 Grace Robinson,28 Margie Quinn,27 Katharine Gilbert
NASH @ INDY,Week 1,NASH,INDY,2024-04-08 12:01:57,3,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA
NASH @ INDY,Week 1,NASH,INDY,2024-04-08 12:05:41,4,1,2,1,0,1,1,1,1,0,0,0,NA,NA,NA
NASH @ INDY,Week 1,NASH,INDY,2024-04-08 12:08:19,5,1,3,1,1,1,7,0,0,0,0,0,12 Meaghan Creamer,45 Sylvia Brown,06 Micah Roberts
NASH @ INDY,Week 1,NASH,INDY,2024-04-08 12:12:35,6,2,3,0,1,1,10,0,0,0,1,0,45 Sylvia Brown,02 Sierra Rimmer,21 Elena Rubino
NASH @ INDY,Week 1,NASH,INDY,2024-04-08 12:18:36,7,3,3,0,0,0,0,0,0,0,0,0,NA,NA,NA
NASH @ INDY,Week 1,NASH,INDY,2024-04-08 12:19:38,8,3,4,1,1,3,27,2,2,0,1,1,10 Tori Taylor,28 Margie Quinn,10 Tori Taylor
NASH @ INDY,Week 1,NASH,INDY,2024-04-08 12:25:49,9,4,4,0,0,0,0,0,0,0,0,0,NA,NA,NA
NASH @ INDY,Week 1,NASH,INDY,2024-04-08 12:28:08,10,4,5,1,0,2,7,2,2,0,1,0,NA,NA,NA
NASH @ INDY,Week 1,NASH,INDY,2024-04-08 12:30:43,11,4,6,1,1,3,30,2,2,0,2,0,08 Grace Robinson,28 Margie Quinn,16 Emily Branson
NASH @ INDY,Week 1,NASH,INDY,2024-04-08 12:38:09,12,5,6,0,0,0,0,0,0,0,0,0,NA,NA,NA
NASH @ INDY,Week 1,NASH,INDY,2024-04-08 12:40:17,13,5,7,1,0,1,7,1,1,0,0,0,NA,NA,NA
NASH @ INDY,Week 1,NASH,INDY,2024-04-08 12:45:08,14,5,8,1,1,2,22,1,1,0,0,1,45 Sylvia Brown,24 Mia Letterie,12 Meaghan Creamer
NASH @ INDY,Week 1,NASH,INDY,2024-04-08 12:52:05,15,6,8,0,0,1,5,1,1,0,1,0,NA,NA,NA
