match,week,team,opponent,Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 1:41:03,4,2,0,0,0.984094,0.6745544,31 María Vargas,2,NA,NA,NA,27 Therese Doebler,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 1:42:17,4,3,0,0,0.5428769,0.8318992,10 Mia Griner,9,NA,NA,NA,12 Emma Jaschke,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 1:46:53,5,1,1,0,0.51798064,0.74523664,29 Charlotte Doran,5,NA,NA,NA,NA,20 Soju Hokari,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 1:48:30,5,2,1,0,0.49861687,0.67393976,29 Charlotte Doran,5,NA,NA,NA,03 Alex Krueger,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 1:51:11,5,3,1,1,0.36445367,0.3647818,29 Charlotte Doran,2,29 Charlotte Doran,19 Elle Mayer,45 Jennifer Lin,NA,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 2:04:45,7,1,1,0,0.20677732,0.74093425,29 Charlotte Doran,11,NA,NA,NA,29 Charlotte Doran,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 2:06:48,7,2,1,0,0.8056708,0.59280884,20 Soju Hokari,5,NA,NA,NA,05 Megan Jarriel,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 2:08:51,7,3,1,1,0.0186722,0.32667485,13 Hannah Abraham,9,13 Hannah Abraham,08 Dani Ortiz,13 Hannah Abraham,NA,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 2:13:17,8,1,0,0,0.6881051,0.5590043,10 Mia Griner,3,NA,NA,NA,10 Mia Griner,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 2:14:14,8,2,0,0,0.5041494,0.65181315,31 María Vargas,3,NA,NA,NA,55 Trystan Grzyll,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 2:21:08,9,1,1,1,0.18603043,0.7821143,29 Charlotte Doran,22,29 Charlotte Doran,08 Dani Ortiz,03 Alex Krueger,NA,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 2:28:19,11,1,1,0,0.44467497,0.74400735,13 Hannah Abraham,8,NA,NA,NA,03 Alex Krueger,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 2:33:41,12,1,1,0,0.1307054,0.7052858,18 Naomi Anderson,7,NA,NA,NA,44 Jordan Harn,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 2:45:24,13,1,0,0,0.86791146,0.65181315,10 Mia Griner,1,NA,NA,NA,10 Mia Griner,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 2:45:56,13,2,0,0,0.5069156,0.67824215,31 María Vargas,13,NA,NA,NA,10 Mia Griner,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 2:47:16,13,3,0,1,0.5636238,0.63214505,31 María Vargas,1,NA,31 María Vargas,12 Emma Jaschke,NA,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 3:02:38,15,1,1,0,0.15283541,0.4907806,19 Elle Mayer,1,NA,NA,NA,19 Elle Mayer,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 3:02:57,15,2,1,0,0.33264178,0.8312846,20 Soju Hokari,13,NA,NA,NA,31 María Vargas,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 3:10:05,16,1,1,0,0.48478562,0.69483715,29 Charlotte Doran,3,NA,NA,NA,29 Charlotte Doran,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 3:12:23,17,1,1,0,0.097510375,0.5897357,10 Mia Griner,7,NA,NA,NA,10 Mia Griner,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 3:18:07,18,1,1,1,0.18326418,0.7261832,13 Hannah Abraham,10,08 Dani Ortiz,20 Soju Hokari,75 Sarah Kingsley-Hart,NA,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 3:20:24,19,1,0,1,0.88450897,0.569453,10 Mia Griner,8,72 Annalise Paul,10 Mia Griner,18 Naomi Anderson,NA,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 3:24:53,21,1,1,0,0.8056708,0.6825446,20 Soju Hokari,10,NA,NA,NA,13 Hannah Abraham,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 3:29:55,22,1,1,1,0.9827109,0.6733251,31 María Vargas,7,12 Emma Jaschke,31 María Vargas,10 Mia Griner,NA,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 3:32:09,24,1,1,1,0.5013831,0.57314074,29 Charlotte Doran,12,29 Charlotte Doran,05 Megan Jarriel,75 Sarah Kingsley-Hart,NA,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 3:36:56,26,1,1,0,0.9813278,0.670252,31 María Vargas,34,NA,NA,NA,44 Jordan Harn,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 3:41:19,26,2,1,0,0.6715076,0.8251383,12 Emma Jaschke,7,NA,NA,NA,26 Morgan Lally,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 3:43:57,27,1,1,0,0.87344396,0.6628765,20 Soju Hokari,5,NA,NA,NA,20 Soju Hokari,NA,NA
ATL @ ATX,Week 1,ATL,ATX,2024-04-10 3:44:52,27,2,1,0,0.043568466,0.52827287,08 Dani Ortiz,5,NA,NA,NA,NA,13 Hannah Abraham,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 14:53:46,1,1,1,0,0.87897646,0.749539,00 Maggie Rowell,10,NA,NA,NA,02 Elise Bjork,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 15:00:10,1,2,1,0,0.10857538,0.28856793,07 Shiru Liu,5,NA,NA,NA,02 Elise Bjork,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 15:02:29,1,3,1,1,0.056016598,0.46803933,69 Jaime Estes,8,00 Maggie Rowell,02 Elise Bjork,69 Jaime Estes,NA,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 18:24:57,2,1,0,1,0.026970955,0.8386601,95 Megan Mendieta,21,95 Megan Mendieta,05 Dre Esparza,19 Vanessa Bacorn,NA,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 18:51:40,4,1,1,0,0.80843705,0.6893055,07 Shiru Liu,5,NA,NA,NA,00 Maggie Rowell,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 18:53:55,4,2,1,0,0.45435685,0.5633067,02 Elise Bjork,2,NA,NA,NA,07 Shiru Liu,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 18:57:32,4,3,1,0,0.08921162,0.75814384,07 Shiru Liu,5,NA,NA,NA,07 Shiru Liu,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 19:01:19,4,4,1,1,0.66459197,0.3100799,02 Elise Bjork,6,02 Elise Bjork,00 Maggie Rowell,69 Jaime Estes,NA,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 19:07:27,5,1,0,0,0.31327802,0.41641057,05 Dre Esparza,5,NA,NA,NA,16 Kinsey Neas,NA,NA
ATL @ ATX,Week 1,ATX,ATL,2024-04-09 19:10:16,5,2,0,0,0.04218534,0.5786724,12 Annie Ortiz,2,NA,NA,NA,NA,19 Vanessa Bacorn,NA
