team,Player,assists,secondary_assists,goals,turnovers,defensive_blocks,total_throw_gain,total_catch_gain,offensive_points_played,defensive_points_played,touches,throws,possessions_initiated,thrower_errors,receiver_errors,avg_completed_throw_gain,avg_caught_pass_gain
MKE,52 Erynn Schroeder,5,2,0,26,3,775.68,67.67,28,5,93,93,40,24,2,10.629999999999999,1.11
MKE,72 Jacqueline Jarik,4,0,2,6,3,213.63,224.67,13,19,27,25,3,4,2,9.01,9.04
MKE,88 Claire Kelley,0,0,1,2,0,-5.89,109.93,10,0,7,6,0,2,0,-3.8499999999999996,16.455
MKE,97 Eileen Bequette,1,1,3,3,1,5.620000000000001,245.26,8,13,8,5,1,2,1,5.540000000000001,35.595
MKE,99 Dana Demmert,1,0,1,3,2,35.76,120.43,11,14,12,11,1,1,2,6.295,13.46
NASH,02 Sierra Rimmer,1,0,0,1,0,27.03,-3.59,0,5,8,8,2,1,0,3.86,-0.6
NASH,04 Ashley West,0,0,0,2,0,-2.37,19.85,6,2,6,6,2,1,1,-0.47,4.96
NASH,06 Micah Roberts,0,0,1,1,0,5.49,50.39,3,9,3,2,0,1,0,5.49,16.8
NASH,07 Mary Cowart,0,0,1,0,0,8.6,47.28,5,2,5,4,0,0,0,2.15,9.46
NASH,08 Grace Robinson,0,3,2,9,1,170.35,115.75999999999999,23,6,53,51,4,7,2,3.875,2.56
NASH,09 Emma Patterson,0,0,0,0,0,2.57,5.42,2,6,2,2,1,0,0,1.29,5.42
NASH,10 Tori Taylor,4,3,3,9,7,151.93,336.97,23,7,49,46,2,8,1,4.085,6.98
NASH,11 Jamie Ferrie,0,0,0,0,1,-13.21,31.43,1,6,4,4,1,0,0,-3.3,10.48
NASH,12 Meaghan Creamer,0,1,1,0,0,12.19,19.03,3,3,2,1,0,0,0,12.19,9.52
NASH,16 Emily Branson,2,1,1,8,0,155.45,46.4,16,5,32,31,7,6,2,5.795,2.2649999999999997
NASH,17 Rachel Barr,0,0,0,1,0,-29.94,61.71,9,3,6,6,0,1,0,-5.99,10.28
NASH,19 Bethany Bailey,0,0,0,0,0,-0.95,5.83,1,3,1,1,0,0,0,-0.95,5.83
NASH,20 Noel Holmes,0,2,0,3,0,117.79,32.64,13,6,23,23,4,3,0,6.13,1.605
NASH,21 Elena Rubino,2,0,1,1,2,35.56,94.83,10,11,6,5,0,1,0,4.445,16.935
NASH,22 Rebecca Henley,0,1,2,1,3,24.52,220,23,7,21,19,1,1,0,0.9349999999999999,11.05
NASH,23 Breanna Snipes,0,0,0,1,1,-22.69,33.46,5,3,3,3,0,1,0,-5.675,5.575
NASH,24 Mia Letterie,3,0,0,5,1,231.51,-74.71000000000001,15,11,49,49,16,5,0,5.245,-2.35
NASH,25 Nadine Rowen,0,0,0,1,1,85.28,81.96,5,3,11,11,1,1,0,8.53,8.2
NASH,27 Katharine Gilbert,1,2,2,9,0,295.39,174.68,23,8,98,96,24,9,0,3.615,2.36
NASH,28 Margie Quinn,4,0,1,1,0,205.64,-66.24,9,4,48,47,9,1,0,4.47,-1.7
NASH,45 Sylvia Brown,1,3,2,7,0,187.15,68.27000000000001,15,11,59,57,8,7,0,3.82,1.37
NASH,71 Mattea Swegles,0,0,0,1,0,-5.62,88.46000000000001,11,4,6,6,0,0,1,-2.24,29.245
NASH,72 Grace Castro,0,1,1,3,0,31.63,234.36,23,6,25,24,0,3,0,1.6,9.61
NASH,77 Melissa Gronske,0,0,0,1,1,23.84,33.6,7,3,5,5,0,1,0,5.96,6.72
NASH,82 Mary Turner,0,1,0,2,3,24.32,63.67,15,6,13,13,3,2,0,3.015,6.57
NY,00 Genny De Jesus,0,4,6,2,1,60.68,247.23999999999998,28,9,37,31,1,1,1,1.8499999999999999,6.57
NY,02 Jolene Zheng,1,1,2,3,1,-14.860000000000001,192.58,24,4,15,14,0,2,1,-2.02,12.920000000000002
NY,05 Emily Wang,0,0,0,0,0,22.1,-23.05,0,10,4,4,0,0,0,5.53,-5.76
NY,08 Manuela Cardenas,1,1,1,0,3,77.3,84.55,3,13,21,20,1,0,0,3.86,4.23
NY,09 Cassandra Brown,6,0,2,7,2,340.81,206.57999999999998,17,15,49,47,15,6,1,8.31,6.34
NY,11 Emma Berrigan,0,0,1,0,1,-21.95,30.55,4,11,3,2,1,0,0,-10.97,15.28
NY,18 Kylie Sterling,1,0,0,4,1,18.24,78.07,1,10,8,8,0,4,0,6.08,9.76
NY,19 Eastelle Ding,0,1,2,0,0,12.82,89.31,1,9,8,6,0,0,0,2.14,11.16
NY,20 Yina Cartagena,11,4,3,6,1,845.56,269.08,29,8,105,102,20,5,1,8.62,3.585
NY,23 Linnea Soo,1,1,2,5,2,48.06,256.66,27,6,26,24,1,3,2,2.245,10.375
NY,24 Jolie Krebs,3,1,1,2,2,226.92,19.63,3,15,28,27,6,2,0,9.08,0.89
NY,26 Mariabelen Restrepo,0,0,1,1,1,2.29,152.7,0,20,13,12,3,1,0,0.105,16.485
NY,31 Eli Presberg,0,3,2,4,3,34.077244,135.57999999999998,2,24,33,31,5,3,1,1.8450000000000002,5.17
NY,33 Valeria Cardenas,7,6,4,14,3,686.0899999999999,298.85,28,21,118,114,27,11,3,6.725,3.14
NY,44 Kayla Seeger,0,0,2,1,0,20.52,91.97,0,9,5,3,0,0,1,6.84,18.39
NY,62 Casey Banta-Ryan,0,1,2,1,0,-2.1500000000000004,121.76,5,15,13,11,0,1,0,0.55,10.65
NY,65 Anna Lieberman,1,1,0,2,1,35.57,44.34,0,15,6,6,0,1,1,7.875,7.390000000000001
NY,66 Janine Hlavaty,0,0,2,2,1,17.95,91.49,12,3,9,7,0,2,0,3.59,10.17
NY,88 Nikki Hair,1,1,3,1,0,35.989999999999995,183.09,4,20,9,6,0,0,1,5.994999999999999,19.97
NY,96 Nina Finley,2,4,1,7,1,317.45,48.18,17,25,56,56,13,4,3,6.51,1.1099999999999999
NY,97 Hannah Glick,1,1,0,0,0,-23.76,73.18,12,3,7,7,0,0,0,-3.39,10.45
PHL,00 Emilie Mohler,0,1,1,1,1,35.33,15.07,0,10,6,5,1,1,0,8.83,3.01
PHL,01 Emily Shields,2,5,3,3,2,142.41,350.02,17,4,26,23,1,2,1,8.535,13.09
PHL,03 Rachel Alfano,2,0,3,0,0,44.629999999999995,217.04,17,3,28,25,0,0,0,2.13,5.225
PHL,04 Raha Mozaffari,3,4,0,6,3,279.23,-39.089999999999996,2,26,49,49,29,6,0,7.345000000000001,-1.63
PHL,05 Lindsay McKenna,1,2,2,1,5,51.17,115.5,0,18,10,8,1,0,1,7.595000000000001,15.495
PHL,08 Emma Soiles,4,1,6,5,3,116.72,287.88,2,28,29,21,2,4,1,7.205,10.635
PHL,09 Sarah Hirannet,2,2,3,0,0,116.4,208.81,16,5,19,16,0,0,0,6.775,10.07
PHL,10 Andrea DeSabato,2,1,0,2,0,185.15,-37.54,18,4,86,86,11,2,0,2.0949999999999998,-0.08999999999999997
PHL,11 Sara Liang,3,2,0,3,4,254.06,58.949999999999996,2,30,38,38,16,2,1,7.635,2.62
PHL,12 Sally Roberts,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PHL,13 Kat Harper,2,2,2,0,2,43.03,88.91,0,17,11,9,1,0,0,5.375,8.89
PHL,15 Layne Dodge,2,1,2,0,2,89.03999999999999,100.81,1,20,11,9,1,0,0,9.61,10.085
PHL,16 Grace Maroon,0,2,2,0,0,17.51,65.92,4,1,8,6,0,0,0,2.92,8.24
PHL,17 Allie Milligan,0,2,0,2,0,29.33,-5.57,1,8,7,7,4,2,0,2.935,-0.93
PHL,18 Sumi Onoe,0,0,2,3,0,5,89.24,1,10,8,6,0,0,3,0.83,11.16
PHL,20 Danielle Walsh,4,4,0,7,2,251.2,133.89,18,4,88,88,16,5,2,2.95,1.835
PHL,21 Linda Morse,4,0,1,4,0,89.81,159.35,1,9,11,10,0,1,3,11.23,14.49
PHL,22 Liz Hart,5,0,4,2,0,243.27999999999997,264.67,18,6,30,26,0,1,1,8.08,8.785
PHL,23 Natalie Bova,2,5,3,1,1,203.07,-0.5799999999999983,18,4,75,72,4,1,0,2.9450000000000003,0.245
PHL,24 Casey Gorman,0,0,2,4,4,26.86,70.96,0,21,9,7,1,3,1,6.715,9.530000000000001
PHL,25 Sabrina Bonaci,0,0,0,1,0,0,9.07,1,5,1,1,0,0,1,0,4.535
PHL,33 Jana Graham,0,0,2,3,2,6.43,58.95,1,17,5,3,0,1,2,1.61,11.920000000000002
PHL,36 Adi Malave,0,0,0,1,0,19.22,20,0,6,3,3,1,1,0,9.61,10
PHL,36 Adilina Malave,0,0,0,4,0,-5.5,3.94,1,5,4,4,0,3,1,-5.5,0.98
PHL,66 Jess Brand,0,0,0,0,2,-5.65,5.65,1,9,1,1,0,0,0,-2.825,2.825
PHL,70 Benish Benjamin,0,0,0,0,0,4.16,0,0,2,1,1,1,0,0,4.16,0
RAL,01 Lindsay Soo,1,0,1,1,2,41.96,95.65,6,2,10,9,1,1,0,5.24,10.63
RAL,02 Claire Bidigaire-Curtis,0,1,0,2,3,47.4,61.69,6,1,15,15,1,1,1,3.39,4.41
RAL,03 Grace Conerly,0,1,1,2,0,35.51,17.87,4,1,8,7,5,1,1,5.92,5.96
RAL,06 Jenny Wei,0,1,0,1,0,-15,64.96,5,2,6,6,0,1,0,-3,10.83
RAL,09 Jinny Riedel,0,0,0,0,0,6.53,6.99,3,3,6,6,0,0,0,1.09,1.17
RAL,10 Paige Carver,0,0,0,1,0,-0.62,22.07,5,1,2,2,0,0,1,-0.31,11.03
RAL,11 Dawn Culton,2,0,0,1,0,72.8,37.37,5,2,6,6,0,1,0,14.56,6.23
RAL,12 Katie Backus Meilstrup,0,0,0,1,1,18.26,57.19,5,1,7,7,0,1,0,3.04,8.17
RAL,13 Tyler Smith,0,0,0,5,2,31.62,13.44,5,2,21,21,8,5,0,1.98,1.03
RAL,14 Sarah Spall,0,0,0,0,1,4.35,24.79,4,0,2,2,0,0,0,2.18,12.39
RAL,15 Justine Neville,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0
RAL,16 Tania Proksch,0,0,0,2,1,1.71,15.77,5,3,2,2,0,0,2,0.85,7.89
RAL,17 Emily Przykucki,0,0,0,3,1,38.77,-17.87,3,2,9,9,0,2,1,5.54,-1.99
RAL,18 Sarah McKee,0,0,0,0,1,-17.09,66.82,5,2,4,4,0,0,0,-4.27,16.71
RAL,19 Sydney Kelley,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
RAL,22 Julia Zwierzynski,0,0,1,0,0,1.09,58.51,5,2,3,2,0,0,0,0.54,19.5
RAL,23 Nicole Patterson,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0
RAL,25 Meg Manning,0,0,0,0,0,9.71,15.7,4,3,4,4,0,0,0,2.43,3.92
RAL,27 Mary Rippe,0,0,0,1,1,19.04,16.16,3,0,6,6,0,0,1,3.17,2.69
RAL,28 Claire Revere,0,0,1,1,0,19.35,47.63,5,3,12,11,1,1,0,1.93,4.33
RAL,32 Annie Bocko,0,0,0,2,0,49.81,-14.69,6,1,13,13,6,1,1,4.15,-2.1
RAL,33 Erica Birdsong,1,0,0,3,0,11.34,58.43,6,0,10,10,0,3,0,1.62,5.84
RAL,44 Chloe Greene,0,0,0,3,0,56.02,13.42,6,1,32,32,5,3,0,2.07,0.5
RAL,45 Caitlin Gross,0,0,1,6,1,71.92,36.6,6,1,25,24,6,5,1,3.79,1.93
RAL,59 Audrey Lyman,0,1,0,7,0,179.49,-6.22,5,1,26,26,10,7,0,9.45,-0.39
RAL,88 Maddie Pletzke,0,0,0,1,0,0,22.3,6,1,1,1,0,1,0,0,22.3
RAL,90 Qxhna Titcomb,1,0,0,3,2,44.99,14.37,5,3,17,17,2,3,0,3.46,0.96
