team,Player,Touches,Throws,Catches,Defensive blocks,Goals,Turnovers,Total completed throw gain (yd),Average completed throw gain (yd),Total caught pass gain (yd),Average caught pass gain (yd),Offense points played,Defense points played,Possessions initiated,Thrower errors,Receiver errors,Assists,Secondary assists
MKE,23 Allie Mueting,5,4,5,1,1,0,3.8946400000000017,0.9710387760000002,104.11598000000001,20.822077385,7,24,0,0,0,0,0
NASH,23 Breanna Snipes,7,6,7,1,1,1,-48.015660000000004,-9.603395435200001,73.36364,10.479896259025715,7,10,0,1,0,0,1
PORT,23 Colette Pellegrini,51,46,50,2,5,4,202.51034,4.6022922142454545,529.08028,10.581362049344001,35,5,1,1,3,9,3
INDY,23 Lili Hobday,52,50,44,2,2,4,140.79780000000002,3.0608207104374783,368.10912,8.366381569375909,9,41,8,4,0,2,1
NY,23 Linnea Soo,26,24,25,2,2,5,52.57764,2.6288037587610003,280.78604,11.231652335032,27,7,1,3,2,1,1
DC,23 Lisa Dang,125,125,95,2,0,6,719.7426,6.313472527322457,78.31945999999999,0.8244625307610527,22,18,30,6,0,3,8
PHL,23 Natalie Bova,134,126,120,2,8,4,615.5281600000001,5.129337832705033,381.4012200000001,3.178473283553867,53,11,14,4,0,11,6
RAL,23 Nicole Patterson,0,0,0,0,0,0,0,NA,0,NA,2,4,0,0,0,0,0
INDY,24 Abby Swensen,52,39,51,5,13,4,283.24754,7.868072882422223,780.99566,15.629026062464002,48,15,1,2,2,8,3
MINN,24 Allegra Johnson McKee,1,1,1,0,0,0,13.489020000000002,13.486249992000001,14.67054,14.671851706000002,2,4,0,0,0,1,0
PORT,24 Annika Chan,27,26,15,2,0,3,157.75480000000002,6.859107321451305,-7.77834,-0.5187022605066667,7,17,12,3,0,0,0
PHL,24 Casey Gorman,12,10,11,6,2,6,64.4366,10.740235162400001,111.85056000000002,10.167940380636365,2,37,1,4,2,1,0
RAL,24 Hannah Boettcher,10,10,9,1,0,4,47.38114,6.768959646588572,121.53246,13.503865944666668,2,13,1,3,1,0,2
MKE,24 Heidi Umhoefer,2,2,2,0,0,0,20.91728,10.458797536000002,13.554660000000002,6.776121677000001,6,8,0,0,0,0,0
MKE,24 Heidi Umhoeffer,10,8,9,1,2,0,23.247500000000006,2.783924962411111,161.73696,16.972403629400002,4,11,1,0,0,1,0
DC,24 Jamie Eriksson,37,33,34,4,4,6,330.56304,11.398665020550347,389.32178000000005,11.450669360435295,6,26,3,3,3,5,3
NY,24 Jolie Krebs,111,98,105,4,13,6,649.9344600000001,7.064468573129566,915.79834,8.721947464710476,44,34,6,6,0,7,10
NASH,24 Mia Letterie,95,94,69,3,1,11,558.0494,6.9756437525812505,-136.70624,-1.9812056619118843,33,28,26,11,0,4,3
MKE,25 Anna Wozniak,1,1,1,1,0,0,3.3367,3.3345100308,15.928640000000001,15.931562074,2,12,0,0,0,0,0
ATX,25 Jasmine Anand,0,0,0,0,0,0,0,NA,0,NA,0,2,0,0,0,0,0
RAL,25 Meg Manning,6,6,6,0,0,2,24.144580000000005,4.830016564,61.01238,10.168187594800001,6,14,0,1,1,0,0
NASH,25 Nadine Rowen,21,20,19,4,1,3,101.52320000000002,5.639852906576667,185.91436000000002,9.78456207703158,15,13,2,2,1,2,0
PHL,25 Sabrina Bonaci,1,1,1,0,0,1,0,NA,9.922580000000002,9.920574698000001,1,5,0,0,1,0,0
MKE,25 Woz (Anna Wozniak),5,3,5,1,2,0,-14.495500000000002,-4.833732079733334,112.31004,22.4639789504,2,5,0,0,0,0,1
ATX,26 Amy Broome,48,47,30,1,1,4,263.18358,6.266535081629049,45.7839,1.5262047446326668,14,14,18,3,1,2,0
DC,26 Jessica Sourbeer,74,74,52,2,0,6,472.60800000000006,7.384554529404375,24.604060000000004,0.4731014371288462,8,28,22,6,0,4,5
NASH,26 Leah Shorb,3,3,3,0,0,0,32.677780000000006,10.892741924060001,46.910720000000005,15.635153714000001,1,10,0,0,0,1,0
